"sample","putative species","nominal species","latitude","longitude","denominator","original reads","aligned reads","median coverage"
"CUMV_1457414505_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,4148514,4756550,2606706,43
"CUMV_1457514506_Ct_pant","C. pantherinus","C. pantherinus",-26.226,121.5575,4087085,4719480,2453772,40
"CUMV_14576_Ct_pant","C. pantherinus","C. pantherinus",-27.586,119.5208,3236540,3310944,1541844,29
"CUMV_14589_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2514066,2778808,1035139,23
"CUMV_14590_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,1765961,977732,377720,11
"CUMV_14591_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2500009,2666556,1059138,25
"CUMV_14593_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2649621,2592330,1039440,23
"CUMV_14594_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,1601882,818726,311323,9
"CUMV_14595_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2602831,2680774,1064158,23
"CUMV_14596_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,1852553,1032510,388858,11
"CUMV_14597_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,1748640,800758,314635,9
"CUMV_14598_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,980667,430088,168301,7
"CUMV_14599_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2453401,1880786,727517,17
"CUMV_14600_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2579144,2203344,877458,20
"CUMV_14601_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2145668,1495428,579118,14
"CUMV_14602_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2479680,1772030,707743,16
"CUMV_14604_Ct_hele","C. inornatus 1","C. helenae",-26.226,121.5575,2196517,1267342,519858,13
"CUMV_14606_Ct_hele","C. inornatus 1","C. helenae",-28.133,123.8667,2174786,1825876,688613,18
"CUMV_14611_Ct_hele","C. inornatus 1","C. helenae",-28.133,123.8667,2589996,3402216,1350675,31
"CUMV_14655_Ct_hele","C. inornatus 1","C. helenae",-28.133,123.8667,1400888,543960,218817,8
"CUMV_14656_Ct_hele","C. inornatus 1","C. helenae",-28.133,123.8667,2051112,1212948,474175,13
"CUMV_14681_Ct_scho","C. schomburgkii 2","C. schomburgkii",-26.226,121.5575,2306595,758154,477896,10
"CUMV_14688_Ct_scho","C. schomburgkii 2","C. schomburgkii",-28.133,123.8667,186,5189356,8590,27
"CUMV_14700_Ct_scho","C. schomburgkii 2","C. schomburgkii",-27.586,119.5208,4159868,2126824,1383766,21
